Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,-9999
570,Rougned Odor,28,BAL,472,.283,75,.244,.150,2.8%,23.1%,6.8%,86.6,33.5%,22.7%,31.2%,29.0%,0.47,38.3%,48.6%,13.1%,0.1,0.0%,-7.3,31%,86%,32%,odorro01
571,Shohei Ohtani,27,LAA,666,.371,143,.320,.246,5.1%,24.2%,10.8%,92.7,49.9%,23.6%,42.5%,30.1%,0.75,30.1%,49.5%,20.3%,2.2,0.6%,31.9,28%,55%,40%,ohtansh01
572,Chris Okey,27,CIN,13,.194,3,.286,.000,0.0%,38.5%,0.0%,86.2,14.3%,0.0%,57.1%,28.6%,1.33,14.3%,57.1%,28.6%,-0.1,0.0%,-1.8,100%,,0%,okeych01
573,Edward Olivares,26,KCR,174,.324,109,.344,.124,2.3%,20.7%,5.8%,89.2,39.2%,28.6%,47.6%,19.8%,0.91,30.2%,57.1%,12.7%,0.2,0.1%,2.4,35%,40%,71%,olivaed02
574,Matt Olson,28,ATL,699,.344,117,.274,.237,4.9%,24.3%,10.7%,92.8,51.0%,22.0%,39.3%,28.4%,0.65,32.0%,53.3%,14.7%,1.9,2.4%,18.5,27%,,39%,olsonma02
575,Rafael Ortega,31,CHC,371,.304,92,.285,.117,1.9%,20.0%,11.9%,86.6,33.7%,24.8%,33.2%,33.2%,0.51,33.6%,47.6%,18.8%,-0.7,-0.2%,-7.9,24%,63%,55%,ortegra01
576,James Outman,25,LAD,16,.585,287,1.000,.385,6.3%,43.8%,12.5%,99.6,83.3%,33.3%,33.3%,33.3%,0.50,33.3%,66.7%,0.0%,0.1,0.0%,2.2,63%,,75%,outmaja01
577,Chris Owings,30,BAL,68,.205,16,.188,.036,0.0%,35.3%,14.7%,77.7,15.2%,15.2%,51.5%,18.2%,1.21,24.2%,63.6%,12.1%,-0.8,-0.3%,-8.7,32%,100%,67%,owingch01
578,Marcell Ozuna,31,ATL,507,.301,87,.252,.187,4.5%,24.1%,6.1%,89.4,44.0%,20.7%,38.4%,31.0%,0.62,33.0%,52.4%,14.5%,-1.6,-0.6%,-24.3,28%,67%,26%,ozunama01
579,Cristian Pache,23,OAK,260,.214,33,.220,.075,1.2%,26.9%,5.8%,88.0,41.0%,19.5%,55.7%,16.7%,1.33,29.3%,55.7%,14.9%,-1.4,-0.4%,-16.9,26%,50%,58%,pachecr01
580,Kevin Padlo,25,TOT,34,.137,-28,.174,.030,0.0%,29.4%,2.9%,90.8,43.5%,21.7%,43.5%,26.1%,0.77,21.7%,65.2%,13.0%,-0.7,-0.3%,-7.2,0%,,,padloke01
581,Kevin Padlo,25,TOT,23,.078,-71,.111,.000,0.0%,21.7%,0.0%,88.9,38.9%,27.8%,38.9%,22.2%,0.64,27.8%,66.7%,5.6%,-0.7,-0.2%,-7.4,0%,,,padloke01
582,Kevin Padlo,25,SFG,12,.150,-20,.250,.000,0.0%,33.3%,0.0%,93.4,62.5%,50.0%,25.0%,25.0%,0.33,12.5%,75.0%,12.5%,-0.4,-0.2%,-3.5,0%,,,padloke01
583,Kevin Padlo,25,SEA,11,.259,66,.400,.100,0.0%,45.5%,9.1%,97.6,60.0%,0.0%,60.0%,40.0%,1.50,0.0%,60.0%,40.0%,0.0,0.0%,0.2,0%,,,padloke01
584,Kevin Padlo,25,PIT,11,.000,-128,.000,.000,0.0%,9.1%,0.0%,85.3,20.0%,10.0%,50.0%,20.0%,1.00,40.0%,60.0%,0.0%,-0.3,0.0%,-3.9,,,,padloke01
585,Jermaine Palacios,25,MIN,77,.206,24,.186,.086,2.6%,35.1%,5.2%,86.4,39.1%,23.9%,52.2%,21.7%,1.14,26.1%,58.7%,15.2%,-1.2,-0.4%,-8.6,40%,,43%,palacje01
586,Josh Palacios,26,WSN,49,.228,39,.313,.043,0.0%,30.6%,2.0%,81.3,31.3%,25.0%,50.0%,12.5%,1.00,28.1%,53.1%,18.8%,-0.7,0.0%,-5.5,47%,100%,33%,palacjo01
587,Richie Palacios,25,CLE,123,.261,61,.280,.054,0.0%,16.3%,7.3%,84.4,21.7%,24.7%,44.1%,17.2%,0.80,32.3%,49.5%,18.3%,-0.4,-0.2%,-6.5,19%,100%,25%,palacri01
588,Michael Papierski,26,TOT,103,.207,11,.188,.044,1.0%,25.2%,9.7%,76.1,9.0%,19.4%,44.8%,19.4%,0.86,31.3%,49.3%,19.4%,-0.7,-0.1%,-10.4,27%,,0%,papiemi01
589,Michael Papierski,26,SFG,10,.069,-78,.000,.000,0.0%,40.0%,10.0%,72.2,0.0%,0.0%,80.0%,20.0%,4.00,0.0%,100.0%,0.0%,-0.1,-0.1%,-2.2,100%,,,papiemi01
590,Michael Papierski,26,CIN,93,.222,21,.203,.049,1.1%,23.7%,9.7%,76.4,9.7%,21.0%,41.9%,19.4%,0.76,33.9%,45.2%,21.0%,-0.6,0.0%,-8.3,24%,,0%,papiemi01
591,Isaac Paredes,23,TBR,381,.329,118,.195,.230,5.3%,17.6%,11.6%,87.4,38.6%,17.7%,42.1%,28.2%,0.73,39.5%,45.1%,15.4%,0.5,0.4%,-1.2,29%,0%,41%,paredis01
592,Hoy Park,26,PIT,60,.298,82,.250,.157,3.3%,25.0%,6.7%,81.8,25.0%,10.0%,47.5%,32.5%,1.06,20.0%,52.5%,27.5%,0.2,0.0%,0.9,31%,100%,50%,parkho01
593,Vinnie Pasquantino,24,KCR,298,.372,140,.306,.155,3.4%,11.4%,11.7%,91.0,47.1%,29.2%,40.3%,25.2%,0.68,32.3%,51.3%,16.4%,1.1,0.0%,11.6,14%,100%,17%,pasquvi01
594,Mark Payton,30,CHW,25,.290,81,.176,.000,0.0%,16.0%,16.0%,84.7,11.8%,11.8%,47.1%,17.6%,0.89,41.2%,47.1%,11.8%,0.0,0.0%,-1.2,43%,,33%,paytoma01
595,Joc Pederson,30,SFG,433,.374,141,.310,.247,5.3%,23.1%,9.7%,92.5,52.3%,22.9%,35.9%,33.8%,0.57,32.0%,50.0%,18.0%,2.5,1.2%,32.9,26%,60%,24%,pederjo01
596,Liover Peguero,21,PIT,4,.398,158,1.000,.000,0.0%,50.0%,25.0%,106.7,100.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,0.3,0%,,,pegueli01
597,Jeremy Peña,24,HOU,558,.319,101,.298,.173,3.9%,24.2%,3.9%,87.2,36.9%,25.3%,46.2%,22.4%,0.88,29.1%,55.9%,15.1%,1.2,0.9%,3.8,36%,85%,43%,penaje02
598,David Peralta,34,TOT,490,.312,103,.307,.164,2.5%,23.3%,8.4%,90.3,44.4%,26.3%,36.3%,28.4%,0.57,32.6%,53.2%,14.2%,1.0,0.5%,1.2,19%,25%,44%,peralda01
599,David Peralta,34,ARI,310,.328,112,.292,.212,3.9%,23.9%,8.7%,91.0,44.9%,27.1%,33.3%,31.9%,0.50,32.9%,55.1%,12.1%,0.5,0.1%,1.7,20%,33%,47%,peralda01
600,David Peralta,34,TBR,180,.284,87,.331,.081,0.0%,22.2%,7.8%,89.3,43.5%,25.0%,41.1%,22.6%,0.70,32.3%,50.0%,17.7%,0.5,0.3%,-0.5,18%,0%,40%,peralda01
601,Oswald Peraza,22,NYY,57,.396,153,.359,.122,1.8%,15.8%,10.5%,81.6,30.0%,17.5%,57.5%,15.0%,1.35,30.0%,55.0%,15.0%,-0.1,-0.1%,-1.9,29%,100%,83%,perazos02
602,Geraldo Perdomo,22,ARI,500,.260,58,.243,.067,1.0%,20.6%,10.0%,81.5,25.4%,21.1%,43.6%,19.9%,0.89,31.6%,50.3%,18.1%,-1.4,-0.5%,-13.1,39%,82%,50%,perdoge01
603,Carlos Pérez,25,CHW,18,.240,44,.250,.111,0.0%,11.1%,0.0%,82.4,12.5%,25.0%,37.5%,25.0%,0.60,37.5%,50.0%,12.5%,-0.1,0.0%,-1.2,0%,,,perezca03
604,Joe Perez,22,HOU,1,.000,-128,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1,,,,perezjo02
605,Michael Perez,29,TOT,132,.231,37,.145,.149,4.6%,24.2%,7.6%,88.2,36.7%,21.1%,34.4%,33.3%,0.53,37.8%,46.7%,15.6%,0.1,0.0%,-6.3,18%,100%,67%,perezmi03
606,Michael Perez,29,PIT,116,.235,39,.133,.168,5.2%,22.4%,6.9%,89.0,39.0%,19.5%,34.1%,34.1%,0.53,35.4%,47.6%,17.1%,-0.1,0.0%,-7.4,11%,100%,100%,perezmi03
607,Michael Perez,29,NYM,16,.199,19,.250,.000,0.0%,37.5%,12.5%,79.8,12.5%,37.5%,37.5%,25.0%,0.60,62.5%,37.5%,0.0%,0.1,0.1%,1.1,50%,,50%,perezmi03
608,Roberto Perez,33,PIT,69,.317,100,.364,.133,2.9%,36.2%,13.0%,89.3,51.4%,22.9%,48.6%,28.6%,0.94,37.1%,54.3%,8.6%,0.0,0.0%,-0.2,29%,,31%,perezro02
609,Salvador Perez,32,KCR,473,.336,114,.285,.211,4.9%,23.0%,3.8%,91.4,49.0%,21.2%,36.9%,34.2%,0.58,29.2%,52.2%,18.6%,2.6,-0.3%,14.1,22%,,30%,perezsa02
610,Jace Peterson,32,MIL,328,.312,93,.303,.146,2.4%,25.9%,10.1%,87.6,36.2%,24.5%,44.7%,26.0%,0.84,33.7%,51.0%,15.4%,-0.4,-0.3%,-3.2,37%,92%,66%,peterja01
611,Tommy Pham,34,TOT,622,.305,84,.304,.137,2.7%,26.9%,9.0%,92.2,48.8%,24.7%,48.2%,22.4%,0.93,23.0%,56.8%,20.2%,-2.5,-0.2%,-9.6,41%,73%,56%,phamth01
612,Tommy Pham,34,CIN,387,.308,83,.300,.135,2.8%,25.8%,10.9%,91.7,46.1%,23.8%,46.7%,24.6%,0.88,23.4%,56.1%,20.5%,-1.4,-0.1%,-6.0,41%,78%,55%,phamth01
613,Tommy Pham,34,BOS,235,.301,85,.310,.140,2.6%,28.5%,6.0%,93.0,53.4%,26.4%,50.7%,18.9%,1.03,22.4%,57.8%,19.7%,-1.1,0.0%,-3.5,41%,50%,57%,phamth01
614,Brett Phillips,28,TOT,225,.229,37,.233,.104,2.2%,41.8%,7.1%,85.6,29.5%,23.2%,28.6%,30.4%,0.43,42.0%,42.0%,16.1%,-1.0,-0.6%,-12.6,34%,100%,80%,phillbr02
615,Brett Phillips,28,TBR,208,.236,42,.232,.103,2.4%,40.9%,7.7%,85.4,30.8%,24.0%,28.8%,29.8%,0.44,42.3%,41.3%,16.3%,-0.9,-0.6%,-11.8,35%,100%,80%,phillbr02
616,Brett Phillips,28,BAL,17,.148,-21,.250,.118,0.0%,52.9%,0.0%,87.5,12.5%,12.5%,25.0%,37.5%,0.33,37.5%,50.0%,12.5%,0.0,0.0%,-0.8,25%,,,phillbr02
617,Evan Phillips,27,LAD,1,.693,364,,,0.0%,0.0%,100.0%,,,,,,,,,,0.0,0.0%,0.2,0%,,,phillev01
618,Kevin Pillar,33,LAD,13,.150,-26,.125,.083,0.0%,30.8%,7.7%,88.3,25.0%,12.5%,50.0%,37.5%,1.00,50.0%,50.0%,0.0%,-0.3,-0.2%,-2.7,50%,,0%,pillake01
619,Manny Piña,35,ATL,17,.183,2,.143,.000,0.0%,5.9%,5.9%,81.9,23.1%,7.1%,57.1%,28.6%,1.33,28.6%,42.9%,28.6%,-0.1,0.0%,-0.7,25%,,50%,pinama01
620,Chad Pinder,30,OAK,379,.287,85,.313,.150,3.2%,31.1%,3.7%,87.2,41.2%,22.8%,49.6%,20.7%,0.99,26.4%,54.1%,19.5%,-0.7,0.1%,-7.2,30%,100%,46%,pindech01
621,Israel Pineda,22,WSN,14,.114,-40,.167,.000,0.0%,50.0%,7.1%,88.9,16.7%,33.3%,50.0%,16.7%,1.00,16.7%,33.3%,50.0%,-0.3,0.0%,-2.5,50%,,0%,pinedis01
622,René Pinto,25,TBR,83,.248,58,.349,.113,2.4%,42.2%,2.4%,89.1,42.2%,17.8%,48.9%,31.1%,0.96,4.4%,86.7%,8.9%,-0.6,-0.2%,-4.4,17%,,33%,pintore02
623,Stephen Piscotty,31,OAK,139,.262,64,.253,.151,3.6%,34.5%,6.5%,90.4,46.3%,31.3%,45.0%,20.0%,0.82,26.3%,62.5%,11.3%,-0.4,0.0%,-4.9,23%,100%,29%,piscost01
624,Kevin Plawecki,31,TOT,186,.259,54,.265,.065,0.5%,17.2%,7.5%,88.8,38.0%,25.4%,47.1%,21.0%,0.90,27.5%,55.1%,17.4%,-1.5,-0.7%,-7.6,27%,,24%,plaweke01
625,Kevin Plawecki,31,BOS,175,.260,54,.256,.070,0.6%,16.0%,8.0%,89.1,39.2%,24.4%,48.9%,20.6%,0.97,26.7%,55.0%,18.3%,-1.4,-0.7%,-7.4,29%,,24%,plaweke01
626,Kevin Plawecki,31,TEX,11,.245,51,.429,.000,0.0%,36.4%,0.0%,82.8,14.3%,42.9%,14.3%,28.6%,0.17,42.9%,57.1%,0.0%,-0.1,0.0%,-0.1,0%,,,plaweke01
627,Nick Plummer,25,NYM,31,.247,54,.133,.241,6.5%,38.7%,3.2%,89.1,41.2%,23.5%,47.1%,29.4%,0.89,23.5%,76.5%,0.0%,0.3,0.3%,-1.0,33%,,100%,plummni01
628,Jorge Polanco,28,MIN,445,.335,119,.269,.171,3.6%,21.4%,14.4%,88.1,38.9%,25.4%,29.6%,34.9%,0.43,36.6%,48.6%,14.8%,1.6,1.2%,13.2,28%,50%,42%,polanjo01
629,AJ Pollock,34,CHW,527,.302,89,.278,.143,2.7%,18.6%,6.1%,88.6,42.0%,23.0%,45.1%,22.0%,0.82,30.1%,53.7%,16.2%,0.4,0.1%,-11.3,32%,75%,36%,polloaj01
630,Nick Pratto,23,KCR,182,.292,82,.250,.203,3.9%,36.3%,10.4%,85.3,36.5%,17.7%,31.3%,40.6%,0.47,35.4%,44.8%,19.8%,-1.1,0.0%,-3.4,26%,,44%,prattni01
631,Ford Proctor,25,SFG,22,.197,14,.063,.167,4.6%,13.6%,9.1%,89.4,29.4%,23.5%,70.6%,5.9%,2.40,35.3%,41.2%,23.5%,-0.1,0.0%,-0.9,67%,,50%,proctfo01
632,Jurickson Profar,29,SDP,658,.326,115,.272,.148,2.3%,15.7%,11.1%,87.0,34.5%,25.7%,43.9%,22.8%,0.80,33.9%,47.3%,18.8%,-1.0,-0.7%,-3.7,33%,83%,56%,profaju01
633,Albert Pujols,42,STL,351,.385,156,.252,.280,6.8%,15.7%,8.0%,91.2,47.3%,20.5%,38.0%,29.5%,0.61,39.1%,46.1%,14.7%,1.7,-0.1%,14.0,19%,33%,12%,pujolal01
634,Roman Quinn,29,TOT,87,.256,65,.395,.089,0.0%,41.4%,8.1%,83.7,41.9%,25.6%,20.9%,34.9%,0.32,48.8%,37.2%,14.0%,-0.5,-0.3%,-1.3,46%,57%,50%,quinnro01
635,Roman Quinn,29,PHI,40,.203,10,.273,.027,0.0%,37.5%,7.5%,81.0,31.8%,18.2%,22.7%,36.4%,0.38,40.9%,36.4%,22.7%,-0.4,-0.2%,-2.2,62%,80%,50%,quinnro01
636,Roman Quinn,29,TBR,47,.302,113,.524,.143,0.0%,44.7%,8.5%,86.5,52.4%,33.3%,19.0%,33.3%,0.27,57.1%,38.1%,4.8%,-0.1,-0.1%,0.9,35%,0%,50%,quinnro01
637,Esteban Quiroz,30,CHC,47,.297,90,.355,.000,0.0%,19.2%,8.5%,78.1,28.1%,25.0%,43.8%,18.8%,0.88,31.3%,40.6%,28.1%,0.4,0.0%,1.9,18%,50%,50%,quiroes01
638,Cal Raleigh,25,SEA,415,.338,123,.226,.278,6.5%,29.4%,9.2%,90.9,43.5%,20.2%,29.2%,41.5%,0.41,37.9%,45.8%,16.2%,0.3,-0.3%,5.4,21%,100%,36%,raleica01
639,Luke Raley,27,TBR,72,.281,82,.297,.082,1.4%,33.3%,9.7%,88.4,39.5%,15.8%,39.5%,31.6%,0.68,28.9%,50.0%,21.1%,-0.7,-0.4%,-3.6,29%,,60%,raleylu01
640,Harold Ramírez,27,TBR,435,.327,118,.350,.104,1.4%,16.6%,4.4%,88.5,41.3%,26.3%,51.9%,16.4%,1.08,28.4%,53.4%,18.2%,1.2,1.0%,14.1,28%,38%,30%,ramirha02
641,José Ramírez,29,CLE,685,.365,140,.279,.235,4.2%,12.0%,10.1%,87.7,37.0%,24.6%,32.6%,28.6%,0.48,36.9%,50.2%,12.9%,3.1,1.5%,43.0,29%,74%,55%,ramirjo01
642,Heliot Ramos,22,SFG,22,.181,3,.143,.000,0.0%,27.3%,9.1%,87.4,42.9%,14.3%,64.3%,14.3%,1.80,35.7%,50.0%,14.3%,-0.2,-0.1%,-2.7,100%,,50%,ramoshe02
643,J.T. Realmuto,31,PHI,562,.368,130,.318,.202,3.9%,21.2%,7.3%,90.3,47.3%,24.1%,44.6%,25.6%,0.81,26.4%,53.8%,19.7%,0.4,0.0%,17.4,31%,95%,54%,realmjt01
644,Rob Refsnyder,31,BOS,177,.385,146,.394,.190,3.4%,26.0%,8.5%,89.9,44.5%,34.5%,37.3%,24.5%,0.59,32.7%,44.5%,22.7%,0.3,0.2%,8.0,30%,50%,44%,refsnro01
645,Zach Reks,28,TEX,34,.234,53,.375,.029,0.0%,29.4%,0.0%,86.3,41.7%,33.3%,25.0%,37.5%,0.33,33.3%,33.3%,33.3%,-0.1,-0.1%,-1.4,30%,0%,33%,reksza01
646,Anthony Rendon,32,LAA,193,.317,99,.258,.151,2.6%,18.1%,11.9%,89.6,38.2%,26.3%,35.3%,30.1%,0.55,28.6%,55.6%,15.8%,0.4,0.3%,-0.3,17%,100%,40%,rendoan01
647,Hunter Renfroe,30,MIL,522,.345,122,.281,.236,5.6%,23.2%,7.5%,90.0,43.6%,21.5%,36.6%,30.2%,0.58,29.3%,51.7%,19.0%,0.2,0.3%,2.0,24%,50%,31%,renfrhu01
648,Luis Rengifo,25,LAA,511,.316,99,.285,.166,3.3%,15.5%,3.3%,86.6,33.6%,21.2%,47.7%,23.6%,0.92,32.8%,54.3%,12.9%,-1.9,-0.4%,-13.7,21%,75%,75%,rengilu01
649,Franmil Reyes,26,TOT,473,.286,80,.307,.144,3.0%,33.2%,6.3%,92.0,45.9%,22.2%,47.9%,22.9%,0.92,29.6%,46.5%,23.9%,-1.0,-0.4%,-17.4,25%,67%,38%,reyesfr01
650,Franmil Reyes,26,CLE,280,.270,70,.309,.137,3.2%,37.1%,5.0%,92.2,47.5%,23.0%,46.0%,21.1%,0.85,31.1%,46.0%,23.0%,-0.8,-0.4%,-15.1,24%,100%,39%,reyesfr01
651,Franmil Reyes,26,CHC,193,.309,96,.305,.154,2.6%,27.5%,8.3%,91.7,43.9%,21.1%,50.4%,25.2%,1.02,27.6%,47.2%,25.2%,-0.3,0.0%,-2.3,26%,0%,36%,reyesfr01
652,Pablo Reyes,28,MIL,16,.244,49,.308,.000,0.0%,12.5%,6.3%,79.9,7.7%,15.4%,53.8%,7.7%,1.40,15.4%,76.9%,7.7%,-0.3,-0.2%,-1.4,20%,,,reyespa01
653,Victor Reyes,27,DET,336,.285,85,.322,.108,0.9%,22.9%,3.9%,87.4,36.8%,28.5%,44.2%,19.4%,0.81,30.6%,48.8%,20.7%,1.8,0.0%,-1.5,25%,50%,43%,reyesvi01
654,Bryan Reynolds,27,PIT,614,.359,130,.306,.199,4.4%,23.0%,9.1%,90.2,42.9%,24.6%,43.7%,27.8%,0.78,31.5%,51.6%,16.9%,2.8,0.2%,14.2,25%,70%,43%,reynobr01
655,Matt Reynolds,31,TOT,272,.304,78,.348,.086,1.1%,28.7%,9.6%,90.2,42.4%,26.3%,51.5%,20.4%,1.06,16.8%,59.9%,23.4%,-0.5,0.0%,-2.6,31%,100%,46%,reynoma03
656,Matt Reynolds,31,CIN,272,.304,78,.348,.086,1.1%,28.7%,9.6%,90.2,42.4%,26.3%,51.5%,20.4%,1.06,16.8%,59.9%,23.4%,-0.5,0.0%,-2.6,31%,100%,46%,reynoma03
657,JT Riddle,30,CIN,4,.225,25,.333,.000,0.0%,25.0%,0.0%,92.0,66.7%,0.0%,66.7%,33.3%,2.00,100.0%,0.0%,0.0%,0.0,0.0%,0.2,0%,,,riddljt01
658,Austin Riley,25,ATL,693,.380,143,.315,.255,5.5%,24.2%,8.2%,92.5,50.9%,26.2%,39.0%,28.8%,0.64,29.3%,51.0%,19.7%,2.1,1.6%,21.5,26%,100%,42%,rileyau01
659,Edwin Rios,28,LAD,92,.332,109,.326,.256,7.6%,39.1%,5.4%,88.5,40.0%,28.0%,38.0%,34.0%,0.61,40.0%,46.0%,14.0%,-0.1,0.0%,0.0,25%,0%,50%,riosed01
660,Alfonso Rivas,25,CHC,287,.288,76,.344,.072,1.1%,30.3%,10.1%,85.8,35.8%,26.3%,49.7%,19.2%,1.04,29.9%,49.1%,21.0%,-1.3,-0.1%,-0.5,27%,86%,44%,rivasal01
661,Emmanuel Rivera,26,TOT,359,.309,97,.275,.176,3.3%,23.1%,6.4%,90.4,38.3%,20.6%,49.2%,26.2%,0.97,28.6%,48.8%,22.6%,-0.4,-0.1%,-3.6,37%,33%,41%,riverem01
662,Emmanuel Rivera,26,KCR,211,.303,90,.281,.162,2.8%,21.8%,5.2%,91.0,39.5%,23.7%,48.0%,25.7%,0.92,24.3%,52.6%,23.0%,-0.7,-0.1%,-6.4,33%,,35%,riverem01
663,Emmanuel Rivera,26,ARI,148,.319,107,.267,.197,4.1%,25.0%,8.1%,89.4,36.5%,15.6%,51.0%,27.1%,1.04,35.4%,42.7%,21.9%,0.3,0.0%,2.8,41%,33%,50%,riverem01
664,Sebastian Rivero,23,KCR,29,.174,-7,.250,.000,0.0%,34.5%,6.9%,83.6,35.3%,11.8%,41.2%,29.4%,0.78,29.4%,52.9%,17.6%,-0.3,0.0%,-3.0,29%,,50%,riverse01
665,Anthony Rizzo,32,NYY,548,.350,128,.216,.256,5.8%,18.4%,10.6%,89.3,41.0%,21.6%,33.1%,35.0%,0.50,38.3%,45.1%,16.7%,2.5,1.2%,16.0,29%,55%,35%,rizzoan01
666,Luis Robert,24,CHW,401,.336,112,.329,.142,3.0%,19.2%,4.2%,89.3,42.8%,26.3%,45.1%,23.0%,0.82,25.0%,52.3%,22.7%,1.7,0.8%,17.2,35%,79%,48%,roberlu01
667,David Robertson,37,TOT,1,,,,.000,0.0%,100.0%,0.0%,,,,,,,,,,,,,,,,roberda08
668,David Robertson,37,CHC,1,.000,-128,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,,roberda08
669,Kramer Robertson,27,STL,1,.000,-122,.000,.000,0.0%,0.0%,0.0%,65.1,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,0.2,0%,,,roberkr01
670,Chuckie Robinson,27,CIN,60,.173,-15,.150,.136,3.3%,28.3%,0.0%,85.0,30.2%,14.0%,65.1%,16.3%,2.00,23.3%,48.8%,27.9%,-0.6,0.0%,-8.7,17%,,100%,robinch04
671,Victor Robles,25,WSN,407,.276,73,.292,.087,1.5%,25.6%,4.2%,79.4,23.8%,22.7%,36.1%,19.9%,0.68,27.8%,54.9%,17.3%,-0.5,0.1%,-14.4,33%,79%,50%,roblevi01
672,Brendan Rodgers,25,COL,581,.325,94,.304,.142,2.2%,17.4%,7.9%,90.0,46.3%,25.5%,52.0%,19.7%,1.08,19.7%,54.1%,26.2%,-1.9,-0.5%,-9.1,34%,,41%,rodgebr02
673,Julio Rodríguez,21,SEA,560,.380,151,.345,.225,5.0%,25.9%,7.1%,92.0,51.2%,22.3%,46.3%,24.0%,0.86,27.5%,56.7%,15.8%,3.9,1.6%,32.6,34%,78%,50%,rodriju01
674,Jose Rojas,29,LAA,57,.136,-31,.189,.036,0.0%,33.3%,0.0%,84.8,33.3%,18.9%,32.4%,16.2%,0.48,27.0%,54.1%,18.9%,-1.0,-0.2%,-8.9,11%,,0%,rojasjo02
675,Josh Rojas,28,ARI,510,.337,111,.323,.122,1.8%,19.2%,10.8%,87.3,36.2%,26.2%,40.8%,26.2%,0.73,26.8%,51.0%,22.3%,2.0,0.2%,11.8,34%,88%,56%,rojasjo01
676,Miguel Rojas,33,MIA,507,.283,76,.258,.087,1.2%,12.0%,5.1%,85.9,27.1%,26.8%,46.9%,19.6%,0.89,20.8%,55.1%,24.2%,-1.8,-0.4%,-14.1,20%,75%,34%,rojasmi02
677,Austin Romine,33,TOT,136,.207,14,.213,.093,2.2%,33.8%,2.9%,86.0,33.3%,14.1%,52.9%,21.2%,1.18,20.0%,55.3%,24.7%,-1.6,-0.3%,-16.6,32%,,11%,rominau01
678,Austin Romine,33,TOT,127,.206,13,.200,.099,2.4%,33.9%,3.2%,86.9,35.9%,13.9%,54.4%,21.5%,1.23,20.3%,54.4%,25.3%,-1.5,-0.2%,-15.1,35%,,11%,rominau01
679,Austin Romine,33,LAA,9,.225,26,.400,.000,0.0%,33.3%,0.0%,73.9,0.0%,16.7%,33.3%,16.7%,0.67,16.7%,66.7%,16.7%,-0.1,-0.1%,-1.5,0%,,,rominau01
680,Austin Romine,33,STL,28,.220,35,.211,.038,0.0%,25.0%,7.1%,85.5,26.3%,10.5%,57.9%,26.3%,1.38,42.1%,47.4%,10.5%,-0.4,-0.2%,-3.6,33%,,0%,rominau01
681,Austin Romine,33,CIN,99,.202,7,.196,.116,3.0%,36.4%,2.0%,87.4,39.0%,15.0%,53.3%,20.0%,1.19,13.3%,56.7%,30.0%,-1.1,0.0%,-11.5,36%,,20%,rominau01
682,Brent Rooker,27,TOT,36,.187,7,.190,.031,0.0%,30.6%,8.3%,87.8,42.9%,19.0%,47.6%,33.3%,0.91,28.6%,71.4%,0.0%,-0.6,-0.1%,-5.4,13%,,,rookebr01
683,Brent Rooker,27,SDP,7,.000,-119,.000,.000,0.0%,57.1%,0.0%,94.8,33.3%,0.0%,33.3%,66.7%,0.50,33.3%,66.7%,0.0%,-0.1,-0.1%,-2.1,,,,rookebr01
684,Brent Rooker,27,KCR,29,.232,39,.222,.040,0.0%,24.1%,10.3%,86.6,44.4%,22.2%,50.0%,27.8%,1.00,27.8%,72.2%,0.0%,-0.5,0.0%,-3.3,13%,,,rookebr01
685,Amed Rosario,26,CLE,670,.319,104,.326,.121,1.6%,16.6%,3.7%,88.4,38.4%,25.7%,52.5%,16.8%,1.10,20.2%,57.2%,22.6%,0.1,0.1%,8.0,38%,82%,60%,rosaram01
686,Eddie Rosario,30,ATL,270,.263,58,.267,.116,1.9%,25.2%,6.3%,87.2,33.2%,23.8%,38.4%,30.3%,0.63,31.4%,55.7%,13.0%,-0.9,-0.8%,-7.1,34%,100%,41%,rosared01
687,Eguy Rosario,22,SDP,6,.249,60,.333,.000,0.0%,33.3%,16.7%,79.3,0.0%,0.0%,33.3%,33.3%,0.50,33.3%,33.3%,33.3%,0.0,0.0%,-0.1,0%,,,rosareg01
688,Darin Ruf,35,TOT,388,.300,88,.258,.135,2.8%,27.1%,11.6%,89.2,40.5%,20.7%,41.8%,29.7%,0.72,29.7%,50.4%,19.8%,-0.7,-0.4%,2.3,38%,100%,29%,rufda01
689,Darin Ruf,35,SFG,314,.323,103,.272,.157,3.5%,27.1%,12.7%,89.5,42.4%,21.2%,40.8%,29.9%,0.69,30.4%,51.6%,17.9%,-0.3,-0.2%,8.0,38%,100%,27%,rufda01
690,Darin Ruf,35,NYM,74,.203,23,.208,.045,0.0%,27.0%,6.8%,87.9,33.3%,18.8%,45.8%,29.2%,0.85,27.1%,45.8%,27.1%,-0.4,-0.2%,-5.7,35%,,38%,rufda01
